url,price,rooms,area,location
https://www.otodom.pl/pl/oferta/panorama-3-stawy-mieszkanie-4-pok-7-b67-ID4lByQ,1310775.0,4.0,89.96, Osiedle Paderewskiego-Muchowiec
https://www.otodom.pl/pl/oferta/bezposrednio-duze-3-pokojowe-mieszkanie-ID4ncDq,710000.0,3.0,85.4, Bogucice
https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-katowice-zaleze-ID4ncDC,359900.0,2.0,44.8,Załęże
https://www.otodom.pl/pl/oferta/wspaniala-lokalizacja-piekna-panorama-ID4ncDv,638365.0,2.0,39.64,Śródmieście
https://www.otodom.pl/pl/oferta/3-pokoje-taras-wyjatkowa-lokalizacja-ID4ncDw,609390.0,3.0,54.89,Śródmieście
https://www.otodom.pl/pl/oferta/wyjatkowa-oferta-swietna-lokalizacja-ID4ncDu,376704.0,1.0,26.1,Śródmieście
https://www.otodom.pl/pl/oferta/giszowiec-3-pokoje-piwnica-ID4ncD5,349000.0,3.0,54.0,Śródmieście
https://www.otodom.pl/pl/oferta/mieszkanie-61-43-m-katowice-ID4ncD1,415000.0,2.0,61.43,Śródmieście
https://www.otodom.pl/pl/oferta/piekne-mieszkanie-obok-trzech-stawow-w-katowicach-ID4mWhs,540000.0,3.0,57.0, Osiedle Paderewskiego-Muchowiec
https://www.otodom.pl/pl/oferta/osiedle-dworska-mieszkanie-b19-ID4k9eA,510000.0,2.0,49.33, Brynów-Osiedle Zgrzebnioka
https://www.otodom.pl/pl/oferta/lux-apartament-do-zamieszkania-od-zaraz-ID4n5j1,559000.0,3.0,50.0, Kostuchna
https://www.otodom.pl/pl/oferta/lux-po-generalnym-remoncie-wyposazony-umeblowany-ID4n5ih,559000.0,3.0,50.0, Kostuchna
https://www.otodom.pl/pl/oferta/2pok-mieszkanie-z-ogrodkiembrynowwysoki-standard-ID4lVdk,565000.0,2.0,44.06, Brynów-Osiedle Zgrzebnioka
https://www.otodom.pl/pl/oferta/2-pokoje-balkon-apartamenty-zbozowa-ID4hj2m,549824.0,2.0,56.8, Piotrowice-Ochojec
https://www.otodom.pl/pl/oferta/wykonczone-mieszkanie-2-sypialnie-balkon-ID4hj3T,499990.0,3.0,50.06, Piotrowice-Ochojec
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-86m2-balkon-bezposrednio-ID4fuGL,,3.0,86.9, Brynów-Osiedle Zgrzebnioka
https://www.otodom.pl/pl/oferta/centrum-graniczna-17c-katowice-paderewskiego-ID4ncxX,352800.0,2.0,33.6, Osiedle Paderewskiego-Muchowiec
https://www.otodom.pl/pl/oferta/niski-blok-i-pietro-umeblowane-ID4ncv4,290000.0,1.0,35.35,Ligota-Panewniki
https://www.otodom.pl/pl/oferta/duze-m2-lub-m3-w-centrum-z-balkonem-co-miejskie-ID4n5cY,337500.0,2.0,45.0, Śródmieście
https://www.otodom.pl/pl/oferta/parter-domu-do-wejscia-brynow-ptasie-osiedle-ID4mW8C,1069000.0,3.0,97.0,Brynów-Osiedle Zgrzebnioka
https://www.otodom.pl/pl/oferta/mieszkanie-62-5m2-m3-ul-radockiego-os-odrodzenia-ID4nctp,520000.0,3.0,62.5, Piotrowice-Ochojec
https://www.otodom.pl/pl/oferta/2-pokojowe-osobna-kuchnia-lazienka-balkon-park-ID4ncsv,251900.0,2.0,36.0, Załęska Hałda-Brynów
https://www.otodom.pl/pl/oferta/kawalerka-z-ogrodem-okazja-ID4n0e6,154900.0,1.0,35.5, Szopienice-Burowiec
https://www.otodom.pl/pl/oferta/prestizowe-osiedle-apartament-2-pokoje-garaz-ID4mW0j,623000.0,2.0,63.0, Załęska Hałda-Brynów
https://www.otodom.pl/pl/oferta/mieszkanie-katowice-ligota-zielonogorska-ID4mZ2s,460000.0,3.0,59.92,Ligota-Panewniki
https://www.otodom.pl/pl/oferta/top-3-pok-sloneczne-atal-francuska-park-ID4ncpX,799000.0,3.0,65.5, Osiedle Paderewskiego-Muchowiec
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-62m2-loggia-bezposrednio-ID4g3aw,580408.0,3.0,62.51, Koszutka
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-102m2-loggia-bezposrednio-ID4g34X,815761.0,4.0,102.31, Koszutka
https://www.otodom.pl/pl/oferta/sprzedam-kawalerka-pater-zmiana-na-wieksze-do-rem-ID4ibpL,255000.0,1.0,28.0,Bogucice
https://www.otodom.pl/pl/oferta/do-wprowadzenia-obok-parku-wpkiw-garaz-ID4mLjo,495000.0,3.0,57.0,Osiedle Tysiąclecia
https://www.otodom.pl/pl/oferta/mieszkanie-na-os-franciszkanskim-60m2-piwnica-ID4n4Cg,650000.0,3.0,60.0,Ligota-Panewniki
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-42m2-loggia-bezposrednio-ID4g34W,417186.0,2.0,42.33, Koszutka
https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-balkonem-ID4ncli,349000.0,2.0,50.0, Wełnowiec-Józefowiec
https://www.otodom.pl/pl/oferta/ladne-3-pokojowe-mieszkanie-w-centrum-katowic-ID4mYVM,615000.0,3.0,70.0, Śródmieście
https://www.otodom.pl/pl/oferta/2-pok-po-remoncie-nowa-kuchnia-sprzety-agd-sprawdz-ID4nckR,370000.0,2.0,44.0,Koszutka
https://www.otodom.pl/pl/oferta/3-pokoje-taras-20m2-piekna-panorama-ID4ncj6,836600.0,3.0,71.2,Śródmieście
https://www.otodom.pl/pl/oferta/super-lokalizacja-3-pokoje-taras-ID4ncj5,590247.0,3.0,51.55,Śródmieście
https://www.otodom.pl/pl/oferta/mieszkanie-52-20-m-katowice-ID4nciZ,307540.0,3.0,52.2, Szopienice-Burowiec
https://www.otodom.pl/pl/oferta/mieszkanie-53-20-m-katowice-ID4ncj2,307920.0,3.0,53.2, Szopienice-Burowiec
https://www.otodom.pl/pl/oferta/mieszkanie-48-70-m-katowice-ID4nciV,297330.0,2.0,48.7, Szopienice-Burowiec
https://www.otodom.pl/pl/oferta/mieszkanie-63-10-m-katowice-ID4nciT,379135.0,3.0,63.1, Szopienice-Burowiec
https://www.otodom.pl/pl/oferta/apartament-z-widokiem-na-panorame-miasta-ID4hJ2F,411286.0,2.0,42.16,Wełnowiec-Józefowiec
https://www.otodom.pl/pl/oferta/ostatnie-w-tym-metrazu-idealny-najem-6000-pracow-ID4lkcV,336408.0,1.0,25.68,Śródmieście
https://www.otodom.pl/pl/oferta/top-lokalizacja-idealne-inwestycyjnie-ID4lpSI,390500.0,2.0,40.89,Wełnowiec-Józefowiec
https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-premium-ID4lCjR,,2.0,43.25,Bogucice
https://www.otodom.pl/pl/oferta/gotowe-przepiekne-klimatyzowane-w-centrum-ID4lJ7q,568588.0,2.0,61.22,Śródmieście
https://www.otodom.pl/pl/oferta/piekne-mieszkanie-deweloperskie-przy-parku-slaskim-ID4kWyb,723303.0,4.0,81.27,Wełnowiec-Józefowiec
https://www.otodom.pl/pl/oferta/nowe-i-gotowe-4-pokoje-z-balkonem-katowice-ID4n0Yk,808545.0,4.0,85.11,Śródmieście
https://www.otodom.pl/pl/oferta/katowice-koszutka-jozefowiec-2pokoje-z-balkonem-ID4lWCn,481799.0,2.0,49.67,Dąb
https://www.otodom.pl/pl/oferta/wyjatkowa-okazja-na-rynku-nieruchomosci-katowice-ID4mZxI,420000.0,3.0,51.84, Osiedle Paderewskiego-Muchowiec
